# Size	Hashing build-up O(n^2)	Hashing pre-processing O(n^2)Search-and-sort O(n^2log(n))
2	0.104	0.117	0.002
4	0.013	0.011	0.003
6	0.013	0.015	0.002
8	0.017	0.022	0.003
10	0.025	0.033	0.004
12	0.033	0.041	0.006
14	0.049	0.093	0.008
16	0.104	0.117	0.007
18	0.079	0.098	0.009
20	0.095	0.109	0.013
22	0.105	0.117	0.014
24	0.136	0.15	0.016
26	0.156	0.177	0.026
28	0.211	0.213	0.022
30	0.213	0.222	0.024
32	0.238	0.25	0.029
34	0.269	0.275	0.035
36	0.307	0.309	0.039
38	0.357	0.436	0.044
40	0.479	0.42	0.051
42	0.479	0.525	0.055
44	0.529	0.501	0.095
46	0.543	0.576	0.07
48	0.569	0.552	0.071
50	0.759	0.722	0.102
52	0.634	0.606	0.084
54	0.642	0.708	0.097
56	0.704	1.144	0.138
58	0.932	1.015	0.135
60	0.777	0.884	0.117
62	0.827	0.993	0.124
64	0.883	0.899	0.133
66	0.987	0.963	0.141
68	1.191	1.165	0.16
70	1.196	1.063	0.171
72	1.226	1.422	0.177
74	1.217	1.247	0.201
76	1.469	1.269	0.205
78	1.329	1.288	0.248
80	1.393	1.474	0.22
82	1.446	2.034	0.258
84	1.771	1.758	0.256
86	1.598	1.646	0.266
88	1.654	1.755	0.29
90	1.756	1.76	0.284
92	1.972	1.984	0.311
94	1.91	2.104	0.338
96	2.003	2.161	0.34
98	2.129	2.274	0.452
100	2.22	2.132	0.374
102	2.242	2.206	0.439
104	2.543	2.435	0.408
106	2.558	2.502	0.437
108	2.459	2.423	0.439
110	2.568	2.547	0.475
112	2.872	2.527	0.455
114	2.663	2.633	0.51
116	3.053	2.993	0.547
118	3.144	3.402	0.556
120	2.955	2.964	0.569
122	3.067	3.009	0.527
124	2.992	3.173	0.62
126	3.198	3.393	0.602
128	3.438	3.721	0.639
130	3.473	3.627	0.681
132	3.711	3.631	0.665
134	3.799	4.356	0.769
136	4.49	4.467	0.883
138	4.611	4.757	0.783
140	4.421	4.192	0.801
142	4.637	4.251	0.843
144	4.599	4.145	0.687
146	3.562	4.286	0.974
148	4.946	4.607	0.897
150	5.368	5.554	0.94
152	4.964	4.882	0.978
154	5.301	4.753	0.951
156	5.211	4.918	0.952
158	5.033	4.972	1.035
160	5.512	5.089	1.018
162	5.385	5.148	1.054
164	5.516	5.106	1.053
166	5.655	5.429	1.12
168	6.801	5.738	1.187
170	6.186	5.623	1.188
172	6.287	6.796	1.269
174	6.33	6.071	1.203
176	6.475	6.062	1.189
178	7.159	6.622	1.32
180	6.813	6.362	1.35
182	7.421	7.016	1.409
184	6.971	6.982	1.373
186	7.465	6.885	1.411
188	7.251	7.547	1.498
190	7.597	7.085	1.278
192	7.067	6.997	1.496
194	7.86	7.85	1.7
196	8.173	7.854	1.662
198	8.964	7.813	1.625
200	8.178	7.647	1.668
202	9.011	8.235	1.787
204	8.52	8.053	1.75
206	8.999	8.883	1.992
208	9.129	9.947	1.953
210	9.73	8.927	1.988
212	10.393	11.378	2.146
214	10.309	9.1	2.076
216	9.963	9.266	2.106
218	10.377	9.399	2.3
220	9.793	9.502	2.096
222	10.398	9.014	2.137
224	10.218	9.24	2.418
226	10.357	9.182	2.068
228	11.277	10.359	2.423
230	12.13	11.418	2.627
232	12.323	10.844	2.655
234	12.067	10.328	2.583
236	12.311	10.879	2.8
238	12.905	13.002	2.707
240	13.031	12.303	2.747
242	13.361	10.884	2.841
244	13.127	11.458	2.764
246	13.106	11.697	2.899
248	12.978	11.02	3.095
250	12.852	10.861	2.684
252	13.04	10.731	2.728
254	12.656	9.974	2.661
256	13.242	11.334	2.757
258	13.586	11.141	2.936
260	13.191	13.022	3.07
262	14.34	12.567	3.162
264	14.854	12.79	3.043
266	14.483	12.694	3.07
268	14.446	12.334	3.087
270	14.229	13.5	3.407
272	15.685	12.96	3.078
274	14.272	12.787	3.246
276	15.401	13.119	3.986
278	15.586	13.44	3.635
280	15.403	12.574	3.363
282	15.622	13.461	3.441
284	16.273	13.015	3.382
286	15.647	14.302	3.774
288	16.807	14.081	3.556
290	15.937	14.442	3.847
292	16.838	14.285	3.644
294	17.519	14.265	4
296	17.64	14.854	3.905
298	18.177	15.268	3.902
300	19.667	14.638	4.052
302	18.261	14.109	4.054
304	18.368	14.453	4.291
306	17.563	14.5	4.719
308	17.892	15.169	4.455
310	19.629	15.632	4.914
312	19.582	15.091	4.037
314	19.477	15.138	4.293
316	20.264	15.208	4.779
318	19.318	15.737	4.309
320	19.519	18.821	4.891
322	19.825	16.008	4.714
324	19.699	14.984	4.416
326	20.757	16.115	4.586
328	20.351	16.41	5.03
330	22.634	17.091	5.194
332	22.96	17.647	5.405
334	21.776	16.799	5.186
336	21.58	15.979	5.187
338	21.85	17.009	5.218
340	21.395	16.581	5.169
342	22.115	16.909	5.457
344	23.761	17.649	5.375
346	22.443	17.376	5.442
348	23.801	17.764	6.434
350	25.218	18.65	6.033
352	25.249	19.216	5.865
354	24.31	18.831	5.651
356	24.667	17.101	5.649
358	24.348	17.306	6.091
360	25.596	18.733	5.893
362	26.666	19.189	6.045
364	26.328	18.462	6.477
366	25.42	24.801	6.877
368	30.722	22.168	7.059
370	31.242	23.135	7.261
372	30.024	19.528	6.928
374	26.951	20.639	6.611
376	25.683	18.073	6.338
378	27.023	20.833	6.696
380	29.179	19.746	6.958
382	30.95	19.149	6.594
384	28.921	19.268	7.421
386	28.157	21.102	7.801
388	30.007	19.839	7.532
390	30.042	20.616	7.092
392	28.791	19.858	6.871
